Birth,Hometown/Residence,Service Years,Picture Url,Name,count
August 1970,Iowa, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/dreckman_bruce.jpg,Bruce Dreckman,1
October 1978,Illinois, 7 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/bellino_dan.jpg,Dan Bellino,2
August 1967,Michigan, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/welke_bill.jpg,Bill Welke,3
December 1970,Florida, 10 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/fairchild_chad.jpg,Chad Fairchild,4
August 1961,Florida, 25 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hernandez_angel.jpg,Angel Hernandez,5
July 1969,Illinois, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/carlson_mark.jpg,Mark Carlson,6
August 1961,Michigan, 25.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/kellogg_jeff.jpg,Jeff Kellogg,7
June 1959,hometown New York, 26 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/gorman_brian.jpg,Brian Gorman,8
August 1955,New, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/cuzzi_phil.jpg,Phil Cuzzi,9
January 1965,hometown Chicago, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/randazzo_tony.jpg,Tony Randazzo,10
December 1976,Kansas, 8 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/tichenor_todd.jpg,Todd Tichenor,11
March 1972,Florida, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/wegner_mark.jpg,Mark Wegner,12
July 1962,Florida, 13 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hickox_ed.jpg,Ed Hickox,13
October 1967,Colorado, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/dimuro_mike.jpg,Mike DiMuro,14
July 1979,Florida, 7 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/carapazza_vic.jpg,Vic Carapazza,15
September 1956,Kentucky, 25 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hallion_tom.jpg,Tom Hallion,16
June 1971,Louisiana, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/wendelstedt_hunter.jpg,Hunter Wendelstedt,17
March 1967,Mississippi, 13 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/barksdale_lance.jpg,Lance Barksdale,18
September 1958,Florida, 29 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/layne_jerry.jpg,Jerry Layne,19
March 1963,South, 21 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/culbreth_fieldin.jpg,Fieldin Culbreth,20
May 1967,hometown California, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2008/2654.jpg,Bill Miller,21
July 1969,Arizona, 16 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/wolf_jim.jpg,Jim Wolf,22
May 1969,Arizona, 10 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/drake_rob.jpg,Rob Drake,23
November 1958,California, 28 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/winters_mike.jpg,Mike Winters,24
July 1965,Florida, 17.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/holbrook_sam.jpg,Sam Holbrook,25
October 1955,hometown North Dakota, 24 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/cederstrom_gary.jpg,Gary Cederstrom,26
July 1963,Georgia, 17.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/nauert_paul.jpg,Paul Nauert,27
October 1961,Ohio, 21 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/meals_jerry.jpg,Jerry Meals,28
October 1968,Missouri, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/kulpa_ron.jpg,Ron Kulpa,29
November 1966,Mississippi, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/fletcher_andy.jpg,Andy Fletcher,30
May 1968,Colorado, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/emmel_paul.jpg,Paul Emmel,31
March 1964,Georgia, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hudson_marvin.jpg,Marvin Hudson,32
October 1968,Kentucky, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/gibson_greg.jpg,Greg Gibson,33
December 1966,Iowa, 20 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/cooper_eric.jpg,Eric Cooper,34
August 1964,Iowa, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/everitt_mike.jpg,Mike Everitt,35
May 1969,Georgia, 16 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/iassogna_dan.jpg,Dan Iassogna,36
November 1963,Wisconsin, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/foster_marty.jpg,Marty Foster,37
December 1977,Pennsylvania, 7 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/porter_alan.jpg,Alan Porter,38
June 1974,hometown Colorado, 11 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/guccione_chris.jpg,Chris Guccione,39
December 1981,Oklahoma, 4.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/baker_jordan.jpg,Jordan Baker,40
April 1972,Arizona, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/marquez_alfonso.jpg,Alfonso Marquez,41
December 1979,Florida, 6 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/gonzalez_manny.jpg,Manny Gonzalez,42
May 1975,Texas, 10 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/johnson_adrian.jpg,Adrian Johnson,43
July 1976,Florida, 6 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/estabrook_mike.jpg,Mike Estabrook,44
October 1981,North, 5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/rackley_david.jpg,David Rackley,45
August 1976,"hometown Michigan, where he still lives", 8 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/barry_scott.jpg,Scott Barry,46
December 1981,Colorado, 6 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/blaser_cory.jpg,Cory Blaser,47
October 1974,Nevada, 9 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/knight_brian.jpg,Brian Knight,48
February 1971,Florida, 10 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hoye_james.jpg,James Hoye,49
October 1984,Fort, 4.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/barrett_lance.jpg,Lance Barrett,50
December 1967,Florida, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/timmons_tim.jpg,Tim Timmons,51
July 1974,Pennsylvania, 6.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/conroy_chris.jpg,Chris Conroy,52
December 1981,Oklahoma, 4.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/baker_jordan.jpg,Jordan Baker,53
March 1967,Mississippi, 13 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/barksdale_lance.jpg,Lance Barksdale,54
October 1984,Fort, 4.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/barrett_lance.jpg,Lance Barrett,55
August 1976,"hometown Michigan, where he still lives", 8 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/barry_scott.jpg,Scott Barry,56
October 1978,Illinois, 7 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/bellino_dan.jpg,Dan Bellino,57
December 1981,Colorado, 6 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/blaser_cory.jpg,Cory Blaser,58
July 1979,Florida, 7 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/carapazza_vic.jpg,Vic Carapazza,59
July 1969,Illinois, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/carlson_mark.jpg,Mark Carlson,60
October 1955,hometown North Dakota, 24 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/cederstrom_gary.jpg,Gary Cederstrom,61
July 1974,Pennsylvania, 6.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/conroy_chris.jpg,Chris Conroy,62
December 1966,Iowa, 20 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/cooper_eric.jpg,Eric Cooper,63
March 1963,South, 21 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/culbreth_fieldin.jpg,Fieldin Culbreth,64
August 1955,New, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/cuzzi_phil.jpg,Phil Cuzzi,65
October 1967,Colorado, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/dimuro_mike.jpg,Mike DiMuro,66
May 1969,Arizona, 10 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/drake_rob.jpg,Rob Drake,67
August 1970,Iowa, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/dreckman_bruce.jpg,Bruce Dreckman,68
May 1968,Colorado, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/emmel_paul.jpg,Paul Emmel,69
July 1976,Florida, 6 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/estabrook_mike.jpg,Mike Estabrook,70
August 1964,Iowa, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/everitt_mike.jpg,Mike Everitt,71
December 1970,Florida, 10 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/fairchild_chad.jpg,Chad Fairchild,72
November 1966,Mississippi, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/fletcher_andy.jpg,Andy Fletcher,73
November 1963,Wisconsin, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/foster_marty.jpg,Marty Foster,74
October 1968,Kentucky, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/gibson_greg.jpg,Greg Gibson,75
December 1979,Florida, 6 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/gonzalez_manny.jpg,Manny Gonzalez,76
June 1959,hometown New York, 26 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/gorman_brian.jpg,Brian Gorman,77
June 1974,hometown Colorado, 11 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/guccione_chris.jpg,Chris Guccione,78
September 1956,Kentucky, 25 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hallion_tom.jpg,Tom Hallion,79
August 1961,Florida, 25 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hernandez_angel.jpg,Angel Hernandez,80
July 1962,Florida, 13 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hickox_ed.jpg,Ed Hickox,81
July 1965,Florida, 17.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/holbrook_sam.jpg,Sam Holbrook,82
February 1971,Florida, 10 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hoye_james.jpg,James Hoye,83
March 1964,Georgia, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/hudson_marvin.jpg,Marvin Hudson,84
May 1969,Georgia, 16 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/iassogna_dan.jpg,Dan Iassogna,85
May 1975,Texas, 10 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/johnson_adrian.jpg,Adrian Johnson,86
August 1961,Michigan, 25.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/kellogg_jeff.jpg,Jeff Kellogg,87
October 1974,Nevada, 9 years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/knight_brian.jpg,Brian Knight,88
October 1968,Missouri, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/kulpa_ron.jpg,Ron Kulpa,89
September 1958,Florida, 29 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/layne_jerry.jpg,Jerry Layne,90
April 1972,Arizona, 18.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/marquez_alfonso.jpg,Alfonso Marquez,91
October 1961,Ohio, 21 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/meals_jerry.jpg,Jerry Meals,92
May 1967,hometown California, 19 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2008/2654.jpg,Bill Miller,93
July 1963,Georgia, 17.5 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/y2011/nauert_paul.jpg,Paul Nauert,94
December 1977,Pennsylvania, 7 Years,http://mlb.mlb.com//mlb/images/official_info/umpires/porter_alan.jpg,Alan Porter,95
